codigo,barcode,nome,modelo,preco,unidade,fonte
1013701,2010000030912,ADAPTADOR DVI-D (24+5) VGA FEMEA 90º,03123,2.99,UN,megamix
961601,2010000029657,ADAPTADOR HDMI PARA MICRO HDMI,LT-2060 CH-0413,2.99,UN,megamix
1147401,7897702415323,ADAPTADOR LEITOR DE CARTOES,KA-1532,9.99,,megamix
991801,2010000030547,ADAPTADOR VGA FEMEA X RJ45 LE-5554,,3.99,UN,megamix
1013601,2010000030905,ADAPTADOR VGA MACHO/FEMEA 90º,03122,0.99,UN,megamix
1354801,7898729413972,AIR FRYER ON-FT105/220V,,199.99,UN,megamix
1355301,7898729413989,AIR FRYER ON-FT106/110V,,179.99,,megamix
1355201,7898729413996,AIR FRYER ON-FT106/220V,,179.99,UN,megamix
1327701,7897741949186,ALICATE 7' MULTIFUNCIONAL KA-6439,,14.99,UN,megamix
906801,7897717815569,APRESENTADOR LASER KA-1556,,23.99,UN,megamix
1286201,7898578499653,BATERIA 9V RECARREGAVEL MO-9V240,C/2 MOX,19.99,,megamix
268605,5435627465409,BATERIA BOTAO FLEX FX-CR1620,,4.99,UN,megamix
360101,7894292356555,CABO AUDIO E VIDEO XB X-360,HYS-XBE001 30851,14.99,UN,megamix
1199301,7908227209516,CABO DE AUDIO 2RCA PARA 2RCA,MCB-046,14.99,UN,megamix
1226001,7892345657093,CABO DE DADOS TYPE-C/TYPE-C 1M,CB5709-C-C 65W,8.99,,megamix
1198501,7899718707430,CABO DE DADOS USB/IPHONE 3M,CBX-U2C13M3IP A1L6,4.99,UNI,megamix
1300301,6650690889931,CABO DE DADOS USB/IPHONE 3M KD-354A,,11.99,UN,megamix
909001,7908125206679,CABO DE DADOS USB/IPHONE LUZ,LE-866P,8.99,UN,megamix
491401,7908125201650,CABO DE DADOS USB/V3 2A 1M LE-4019,V3,4.99,,megamix
1293601,7908552007962,CABO DE FIBRA OPTICA 3M KP-YP5036,,4.99,UN,megamix
1293501,7908552007979,CABO DE FIBRA OPTICA 5M KP-YP5037,,5.99,UN,megamix
1266001,7908417101835,CABO DE FORCA 2 EM 1 Y TRIPOLAR E,ATX XC-CF-11,13.99,UND,megamix
632801,7898615158758,CABO HDMI/HDMI 10M XC-HDMI-10,,24.99,,megamix
649101,7908417100050,CABO IMPRESSORA XC-CI-06,USB-C/USB-B 3.1 2M 0309,9.99,UN,megamix
1326201,7897702600224,CABO P/ MICROFONE P10 XLR 2M,KA-N-2M,6.99,UN,megamix
878201,7898827831777,CAIXA DE SOM BLUETOOTH 3W AL-3039,,24.99,UN,megamix
1194001,7898202282996,CAIXA DE SOM BLUETOOTH 8W KA-8299,,44.99,,megamix
1275301,7898822582186,CAIXA DE SOM BLUETOOTH LUA AL-8218,,59.99,UN,megamix
1071101,7897723986284,CAIXA DE SOM KARAOKE KA-8628,,89.99,UN,megamix
1207001,7908552007924,CAIXA DE SOM MULTIMIDIA KP-RO843,,99.9,UN,megamix
1115701,7908552005074,CAMERA IP WIFI LENTE DUPLA KP-CA210,,179.99,,megamix
988201,7898615154514,CARREGADOR CELULAR IPHONE XC-IP5,Vigência : 21/05/2026até 21/05/2026,1.99,UN,megamix
1244201,7908611105721,CARREGADOR CELULAR TYPE-C/ IPH,OR-IC047/I,21.99,UN,megamix
6901,7898594120029,CARREGADOR NOTEBOOK HP KP-513,18.5V 3.5A,19.99,UN,megamix
459501,7898652412349,CARREGADOR NOTEBOOK SAMS. KP-520A,19V 2.1A,19.99,,megamix
1244101,7908611105691,CARREGADOR TYPE-C 40W OR-IC047,,19.99,UNI,megamix
1152001,7908552003896,CASE PARA HD SATA 2.5 COM 2 USB 3.0,KP-HD828,39.99,UN,megamix
1204501,7908782206494,CHAVE DE FENDA REVERSIVEL BOM-3211,,14.99,UN,megamix
