product_id,product_name,product_name_key,domain_id,category,status,brand,line,model,gtin,main_color,first_image_url,queries,query_count,fetched_date,fetched_at,source_file
MLB52018507,Mouse Gamer Mecanico Luz Rgb Controle De Dpi Mouse Para Jogos Mouse Com Fio Mouse Preto Mouse Gamer Para Jogo Mouse Gamer Attack Dragon Mouse Optico Mouse Ergonomico Mouse Confortavel Vtr,mouse gamer mecanico luz rgb controle dpi mouse jogos mouse fio mouse preto mouse gamer jogo mouse gamer,MLB-COMPUTER_MICE,mouse,active,VTR ELETRONICS,Mouse Gamer,Tigger,7796468528622,Preto,https://http2.mlstatic.com/D_NQ_NP_762048-MLA99406873760_112025-F.jpg,mouse gamer,1,2026-05-03,2026-05-02 21:58:55.863 -0300,mercado_livre_products_raw_202605041308.csv
MLB36463133,Mouse Pad Mouse Gamer Pad Gamer Pad Mouse Pad Gamer Gel,mouse pad mouse gamer pad gamer pad mouse pad gamer gel,MLB-MOUSE_PADS,mousepad,active,Qatar Shop,Alfombrilla,Mouse Pad,138101508047,,https://http2.mlstatic.com/D_NQ_NP_931650-MLU75954244448_052024-F.jpg,mouse gamer,1,2026-05-03,2026-05-02 21:58:55.863 -0300,mercado_livre_products_raw_202605041308.csv
MLB60083636,Gamer Kit 4 em 1 Gamer Mouse Gamer Keyboard Gamer Pad Fones de ouvido Gamer,gamer kit 4 1 gamer mouse gamer keyboard gamer pad fones ouvido gamer,MLB-KEYBOARD_AND_MOUSE_KITS,mouse,active,Santech,,ST-KING,753153709510,Preto,https://http2.mlstatic.com/D_NQ_NP_797430-MLA94662357166_102025-F.jpg,mouse gamer,1,2026-05-03,2026-05-02 21:58:55.863 -0300,mercado_livre_products_raw_202605041308.csv
MLB25564493,Mouse Gamer Pro Mouse Gamer Rgb Dpi 7 Botoes Usb,mouse gamer pro mouse gamer rgb dpi 7 botoes usb,MLB-COMPUTER_MICE,mouse,active,A.R Variedades Mt,,RGB DPI 7 Buttons USB,7893615197882,Cinza,https://http2.mlstatic.com/D_NQ_NP_684898-MLA93986182102_102025-F.jpg,mouse gamer,1,2026-05-03,2026-05-02 21:58:55.863 -0300,mercado_livre_products_raw_202605041308.csv
MLB22372928,Mouse Pad Gamer Xl Mouse Gamer Lisa Mause Gamer Pad 75x30cm Mousepad ergonômico,mouse pad gamer xl mouse gamer lisa mause gamer pad 75x30cm mousepad ergonomico,MLB-MOUSE_PADS,mousepad,active,Qatar Shop,Gamer,Mouse Pad,6934327580720,,https://http2.mlstatic.com/D_NQ_NP_713599-MLA54483346341_032023-F.jpg,mouse gamer,1,2026-05-03,2026-05-02 21:58:55.863 -0300,mercado_livre_products_raw_202605041308.csv
MLB24733998,Nuevo Mouse Pad Gamer Xl Mouse Gamer Lisa Mause Gamer Pad 75x30cm Mousepad ergonômico,nuevo mouse pad gamer xl mouse gamer lisa mause gamer pad 75x30cm mousepad ergonomico,MLB-MOUSE_PADS,mousepad,active,Qatar Shop,Gamer,Genérico,7802900001421,,https://http2.mlstatic.com/D_NQ_NP_855474-MLU70650325185_072023-F.jpg,mouse gamer,1,2026-05-03,2026-05-02 21:58:55.863 -0300,mercado_livre_products_raw_202605041308.csv
MLB36679587,Mouse Gamer Fortrek Gamer Verde,mouse gamer fortrek gamer verde,MLB-COMPUTER_MICE,mouse,active,Fortrek,Gamer,Gamer,7890974889144,Verde,https://http2.mlstatic.com/D_NQ_NP_644478-MLU76040204864_052024-F.jpg,mouse gamer,1,2026-05-03,2026-05-02 21:58:55.863 -0300,mercado_livre_products_raw_202605041308.csv
MLB29467406,Mouse gamer Freds Mouse preto,mouse gamer freds mouse preto,MLB-COMPUTER_MICE,mouse,active,Freds,,Mouse,703556085667,Preto,https://http2.mlstatic.com/D_NQ_NP_867980-MLU73761256649_012024-F.jpg,mouse gamer,1,2026-05-03,2026-05-02 21:58:55.863 -0300,mercado_livre_products_raw_202605041308.csv
MLB56291256,Teclado + Mouse Gamer,teclado mouse gamer,MLB-KEYBOARD_AND_MOUSE_KITS,mouse,active,Shop Borges,,Teclado,7892134102889,Preto,https://http2.mlstatic.com/D_NQ_NP_787003-MLA92128112078_092025-F.jpg,mouse gamer,1,2026-05-03,2026-05-02 21:58:55.863 -0300,mercado_livre_products_raw_202605041308.csv
MLB21709224,Pad Mouse Gamer Extra Largo Mouse Pad Deluxe,pad mouse gamer extra largo mouse pad deluxe,MLB-MOUSE_PADS,mousepad,active,Weibo,,K9,6972543650094,,https://http2.mlstatic.com/D_NQ_NP_733715-MCO49783703963_042022-F.jpg,mouse gamer,1,2026-05-03,2026-05-02 21:58:55.863 -0300,mercado_livre_products_raw_202605041308.csv
