source_name,query,category,title,title_key,price,old_price,discount_pct,currency_id,sold_quantity,demand_signal_type,demand_signal_value,rating,reviews_count,seller_text,shipping_text,item_url,image_url,is_sponsored,is_full,is_catalog,fetched_date,fetched_at,source_file,source_record_id
shopee,mouse gamer,mouse,"Mouse Gamer RGB 7200 DPI Com Fio Iluminação Personalizável | Delta M5072 R$ 29,99 -33% 4.9 São Paulo Encontrar itens similares",mouse gamer rgb 7200 dpi fio iluminacao personalizavel delta m5072 29 99 33 4 9 sao paulo encontrar,29.99,,,BRL,,sold_quantity_text,,,,,,https://shopee.com.br/Mouse-Gamer-RGB-7200-DPI-Com-Fio-Ilumina%C3%A7%C3%A3o-Personaliz%C3%A1vel-Delta-M5072-i.764842647.58206243262,https://down-br.img.susercontent.com/file/br-11134207-820lu-mm7h6vgwqz2c81,False,False,False,2026-05-01,2026-05-01 10:34:35.881 -0300,market_web_listings_raw_202605041156.csv,e682fb32-c9c5-462d-9373-52a3c13ca610
shopee,mouse gamer,mouse,"Mouse Gamer iluminação RGB design ergonômico confortável 4800 DPI R$ 30,96 -38% 4.8 São Paulo Encontrar itens similares",mouse gamer iluminacao rgb design ergonomico confortavel 4800 dpi 30 96 38 4 8 sao paulo encontrar itens,30.96,,,BRL,,sold_quantity_text,,,,,,https://shopee.com.br/Mouse-Gamer-ilumina%C3%A7%C3%A3o-RGB-design-ergon%C3%B4mico-confort%C3%A1vel-4800-DPI-i.397374716.22591649689,https://down-br.img.susercontent.com/file/br-11134207-7r98p-llp00ht75kbv82,False,False,False,2026-05-01,2026-05-01 10:34:35.881 -0300,market_web_listings_raw_202605041156.csv,c7567259-37dd-469b-b4e7-b48622a6563f
shopee,mouse gamer,mouse,"Mouse Gamer Laser X7 3200dpi Led Rgb Usb 7 Botões Profissional Original R$ 16,88 -32% 4.8 São Paulo Encontrar itens similares",mouse gamer laser x7 3200dpi led rgb usb 7 botoes profissional original 16 88 32 4 8 sao,16.88,,,BRL,,sold_quantity_text,,,,,,https://shopee.com.br/Mouse-Gamer-Laser-X7-3200dpi-Led-Rgb-Usb-7-Bot%C3%B5es-Profissional-Original-i.362859393.10107166150,https://down-br.img.susercontent.com/file/br-11134207-7r98o-lynbsjjqfvola8,False,False,False,2026-05-01,2026-05-01 10:34:35.881 -0300,market_web_listings_raw_202605041156.csv,1e20317b-5622-4db1-b2e0-264f7441975b
shopee,mouse gamer,mouse,"Kit Teclado Mouse Gamer KEEDI-TEC800 Membrana LED USB Preto R$ 43,90 -66% 4.8 São Paulo Encontrar itens similares",kit teclado mouse gamer keedi tec800 membrana led usb preto 43 90 66 4 8 sao paulo encontrar,43.90,,,BRL,,sold_quantity_text,,,,,,https://shopee.com.br/Kit-Teclado-Mouse-Gamer-KEEDI-TEC800-Membrana-LED-USB-Preto-i.376716003.22592917677,https://down-br.img.susercontent.com/file/sg-11134201-7rbka-m62wr8amn72874,False,False,False,2026-05-01,2026-05-01 10:34:35.881 -0300,market_web_listings_raw_202605041156.csv,ca62362c-bfad-4cb6-92e4-2ddba64f5c8f
shopee,mouse gamer,mouse,"Kit Gamer Teclado e Mouse Iluminação RGB Com Fio USB Semi Mecânico PC Notebook H8 R$ 62,99 -51% 4.9 São Paulo Encontrar itens similares",kit gamer teclado mouse iluminacao rgb fio usb semi mecanico pc notebook h8 62 99 51 4 9,62.99,,,BRL,,sold_quantity_text,,,,,,https://shopee.com.br/Kit-Gamer-Teclado-e-Mouse-Ilumina%C3%A7%C3%A3o-RGB-Com-Fio-USB-Semi-Mec%C3%A2nico-PC-Notebook-H8-i.1492670075.58201740931,https://down-br.img.susercontent.com/file/br-11134207-7r98o-mdliw24eq0up3f,False,False,False,2026-05-01,2026-05-01 10:34:35.881 -0300,market_web_listings_raw_202605041156.csv,fddc7647-1508-447c-98bd-aab40a950c8c
aliexpress,mouse gamer,mousepad,"Mouse gamer sem fio Attack Shark R1, PAW3311 1KHZ 18000dpi, mouse Bluetooth, mouse macro para jogos, mouse pad/pc R$64,1 R$215,63 -70% 4.8 5.000+ vendido(s) R$10 OFF em R$80 Novo usuário - R$151,53 OFF Anúncio",mouse gamer sem fio attack shark r1 paw3311 1khz 18000dpi mouse bluetooth mouse macro jogos mouse pad pc,64.00,,,BRL,1,sold_quantity_text,1.00,,,,,https://pt.aliexpress.com/item/1005007589036008.html,https://ae-pic-a1.aliexpress-media.com/kf/Sc853ab546c7d4976967581db0a6642f1J.jpg_480x480q75.jpg_.avif,False,False,False,2026-05-01,2026-05-01 10:34:57.257 -0300,market_web_listings_raw_202605041156.csv,71310496-657a-4cbf-8036-d8050d47af88
aliexpress,mouse gamer,mouse,"Mouse para jogos sem fio Attack Shark X11 X11SE de 3 modos, PAW3311, 22000 DPI, 400IPS, mouse para jogos para PC R$93,12 R$247,92 -62% 4.9 10.000+ vendido(s) R$10 OFF em R$80 Novo usuário - R$154,8 OFF",mouse jogos sem fio attack shark x11 x11se 3 modos paw3311 22000 dpi 400ips mouse jogos pc 93,93.12,,,BRL,11,sold_quantity_text,11.00,,,,,https://pt.aliexpress.com/item/1005008830731345.html,https://ae-pic-a1.aliexpress-media.com/kf/S315c856b0ea1408b82207296d8b20ad6Y.jpg_480x480q75.jpg_.avif,False,False,False,2026-05-01,2026-05-01 10:34:57.257 -0300,market_web_listings_raw_202605041156.csv,478ce1f2-2ca3-4826-9f62-25d75fffad34
shopee,teclado mecanico,teclado,Teclado Gamer Com Fio Semi-mecânico RGB LED retroiluminado Computador Pc,teclado gamer fio semi mecanico rgb led retroiluminado computador pc,69.88,,,BRL,,sold_quantity_text,,,,,,https://shopee.com.br/Teclado-Gamer-Com-Fio-Semi-mec%C3%A2nico-RGB-LED-retroiluminado-Computador-Pc-i.1518800920.22393986739,https://down-br.img.susercontent.com/file/sg-11134201-7rffg-m9rsq7bzuyspcd,False,False,False,2026-05-01,2026-05-01 10:37:16.616 -0300,market_web_listings_raw_202605041156.csv,b60982aa-dc75-473e-bc1d-2430596d2f61
aliexpress,mouse gamer,mouse,Delux m900pro mouse para jogos sem fio ergonômico 8k taxa de pesquisa paw3395 63g doca de carregamento rgb magnético para mão direita grande pc gamer,delux m900pro mouse jogos sem fio ergonomico 8k taxa pesquisa paw3395 63g doca carregamento rgb magnetico mao direita,224.86,,,BRL,5000,sold_quantity_text,5000.00,,,,,https://pt.aliexpress.com/item/1005006756452012.html,https://ae-pic-a1.aliexpress-media.com/kf/Sb5dc10f4f8c7482bb59e454c632daecas.jpg_480x480q75.jpg_.avif,False,False,False,2026-05-02,2026-05-02 05:44:42.291 -0300,market_web_listings_raw_202605041156.csv,a14df920-b1c4-4bb9-ab60-e1d68d6166d7
aliexpress,mouse gamer,mouse,"E-sports usb com fio mouse colorido led mouse para jogos 5000 dpi com fio mouse óptico com fio gamer mouse para desktop computador portátil R$6,99 R$34,2 -79% 4.5 2.000+ vendido(s) R$10 OFF em R$80 Novo usuário - R$27,21 OFF",sports usb fio mouse colorido led mouse jogos 5000 dpi fio mouse optico fio gamer mouse desktop computador,6.99,,,BRL,5000,sold_quantity_text,5000.00,,,,,https://pt.aliexpress.com/item/1005006955086271.html,https://ae-pic-a1.aliexpress-media.com/kf/S277d3ccb114445fab415655875410ce32.jpg_480x480q75.jpg_.avif,False,False,False,2026-05-01,2026-05-01 10:34:57.257 -0300,market_web_listings_raw_202605041156.csv,a0eff025-c24a-4ebf-b1b4-b0b6a8f581c5
aliexpress,mouse gamer,mouse,"1 pc novo mouse para jogos usb hipervelocidade rgb retroiluminado ergonômico mouse para jogos 7d esports mouse com fio para computador portátil gamer R$13,11 R$24,11 -45% 4.5 1.000+ vendido(s) R$10 OFF em R$80 Novo usuário - R$11 OFF",1 pc novo mouse jogos usb hipervelocidade rgb retroiluminado ergonomico mouse jogos 7d esports mouse fio computador portatil,13.11,,,BRL,1,sold_quantity_text,1.00,,,,,https://pt.aliexpress.com/item/1005008494169464.html,https://ae-pic-a1.aliexpress-media.com/kf/S1cb5b1cb53dc438ba7d2a4a711fd8923r.jpg_480x480q75.jpg_.avif,False,False,False,2026-05-01,2026-05-01 10:34:57.257 -0300,market_web_listings_raw_202605041156.csv,f90a41c0-7a75-442c-bdc3-ef045d41eae8
amazon,mouse gamer,mouse,"Mouse Gamer Exbom RGB Óptico 1200dpi Com Fio USB Ambidestro Preço, página do produto",mouse gamer exbom rgb optico 1200dpi fio usb ambidestro preco pagina produto,14.99,,,BRL,,bsr_or_reviews_proxy,,,,,"Patrocinado Mouse Gamer Exbom RGB Óptico 1200dpi Com Fio USB Ambidestro Preço, página do produto R$ 14,99 R$14 , 99 De: R$ 18,99 De: R$ 18,99 R$18,99 Mais por Menos: 5% off em 5+ itens Entrega GRÁTIS: Amanhã, 3 de mai. no seu primeiro pedido Adicionar ao carrinho",https://www.amazon.com.br/sspa/click,https://m.media-amazon.com/images/I/51m3nfv013L._AC_UL320_.jpg,True,True,False,2026-05-02,2026-05-02 18:03:29.290 -0300,market_web_listings_raw_202605041156.csv,44d51a98-0a6a-4b03-8805-fe2c1a03ba18
amazon,mouse gamer,mouse,Mouse Gamer Redragon Griffin Preto RGB 7200 DPI M607,mouse gamer redragon griffin preto rgb 7200 dpi m607,90.89,,,BRL,1000,bsr_or_reviews_proxy,1000.00,2.0,3100,,"Escolha da Amazon Mouse Gamer Redragon Griffin Preto RGB 7200 DPI M607 4,8 4,8 de 5 estrelas (3,1 mil) Mais de 1 mil compras no mês passado Preço, página do produto R$ 90,89 R$90 , 89 De: R$ 180,00 De: R$ 180,00 R$180,00 90 dias de Amazon Music grátis incluso Entrega GRÁTIS: Hoje no seu primeiro pedido Adicionar ao carrinho Mais opções de compra R$ 76,09(7 ofertas de produtos novos e usados)",https://www.amazon.com.br/dp/B07GTTRBLV,https://m.media-amazon.com/images/I/519GEp93g3L._AC_UL320_.jpg,False,True,False,2026-05-02,2026-05-02 15:03:43.315 -0300,market_web_listings_raw_202605041156.csv,108e0766-a870-4e62-b622-b0581c278f35
shopee,teclado mecanico,teclado,Teclado Gamer Semi-Mecânico RGB UltraMax ULT-068 Padrão ABNT2 USB Anti-ghosting 65%,teclado gamer semi mecanico rgb ultramax ult 068 padrao abnt2 usb anti ghosting 65,72.88,,,BRL,,sold_quantity_text,,,,,,https://shopee.com.br/Teclado-Gamer-Semi-Mec%C3%A2nico-RGB-UltraMax-ULT-068-Padr%C3%A3o-ABNT2-USB-Anti-ghosting-65--i.406722479.58204647609,https://down-br.img.susercontent.com/file/br-11134207-81ztc-mkb90qhamrr4d4,False,False,False,2026-05-01,2026-05-01 10:37:16.616 -0300,market_web_listings_raw_202605041156.csv,b5348289-ab68-473b-9028-119d3ae79bd8
shopee,teclado mecanico,teclado,"Teclado Mecanico TGT Sherman Compacto V2, Rainbow, ABNT2,Switch Huano Azul, Branco, TGT-SHCPTW-RBW02",teclado mecanico tgt sherman compacto v2 rainbow abnt2 switch huano azul branco tgt shcptw rbw02,92.14,,,BRL,,sold_quantity_text,,,,,,https://shopee.com.br/Teclado-Mecanico-TGT-Sherman-Compacto-V2-Rainbow-ABNT2-Switch-Huano-Azul-Branco-TGT-SHCPTW-RBW02-i.627750190.58200362396,https://down-br.img.susercontent.com/file/sg-11134201-821fg-mgpea0fu8gln65,False,False,False,2026-05-01,2026-05-01 10:37:16.616 -0300,market_web_listings_raw_202605041156.csv,00e91d6b-9b68-4789-a978-dbf45d7e1fd1
shopee,teclado mecanico,teclado,"Teclado Mecanico Gamer TGT Sherman Compacto, Rainbow, ABNT2, Switch Azul, Preto, TGT-SHTKL-RBW01",teclado mecanico gamer tgt sherman compacto rainbow abnt2 switch azul preto tgt shtkl rbw01,100.09,,,BRL,,sold_quantity_text,,,,,,https://shopee.com.br/Teclado-Mecanico-Gamer-TGT-Sherman-Compacto-Rainbow-ABNT2-Switch-Azul-Preto-TGT-SHTKL-RBW01-i.627750190.22997611303,https://down-br.img.susercontent.com/file/br-11134207-7r98o-mb84nf9v9xu73e,False,False,False,2026-05-01,2026-05-01 10:37:16.616 -0300,market_web_listings_raw_202605041156.csv,783f9157-4150-45a8-9553-574d1b5977ef
shopee,teclado mecanico,teclado,"Teclado Mecânico Gamer Ninja Leap 60%, Switch Blue, Rainbow, ABNT2, Branco, GN-KB-LPBL60WBUAB",teclado mecanico gamer ninja leap 60 switch blue rainbow abnt2 branco gn kb lpbl60wbuab,130.58,,,BRL,,sold_quantity_text,,,,,,https://shopee.com.br/Teclado-Mec%C3%A2nico-Gamer-Ninja-Leap-60-Switch-Blue-Rainbow-ABNT2-Branco-GN-KB-LPBL60WBUAB-i.1552226494.58254640134,https://down-br.img.susercontent.com/file/sg-11134201-825zk-mkb87z9qgs1u8e,False,False,False,2026-05-01,2026-05-01 10:37:16.616 -0300,market_web_listings_raw_202605041156.csv,64405bf2-baec-4b14-b1fb-595d0e4062c6
aliexpress,teclado mecanico,teclado,Teclado mecânico sem fio aula f87 2.4g bluetooh tastatur teclado mecânico gamer teclado portátil teclado sem fio para tablet,teclado mecanico sem fio aula f87 2 4g bluetooh tastatur teclado mecanico gamer teclado portatil teclado sem fio,211.99,,,BRL,2,sold_quantity_text,2.00,,,,,https://pt.aliexpress.com/item/1005009435975723.html,https://ae-pic-a1.aliexpress-media.com/kf/S136d1f0a643342a0bd6033a8d93aec9c3.jpg_480x480q75.jpg_.avif,False,False,False,2026-05-01,2026-05-01 10:37:31.629 -0300,market_web_listings_raw_202605041156.csv,a86f1205-9607-46a0-b6b4-fef20a29e8af
