rank,opportunity_score,query,category,source_name,title,price,query_median_price,query_min_price,query_offer_count,query_source_count,price_gap_to_median_pct,demand_proxy,confidence,item_url,image_url,fetched_at
1,90.35,mouse gamer,mouse,aliexpress,"E-sports usb com fio mouse colorido led mouse para jogos 5000 dpi com fio mouse óptico com fio gamer mouse para desktop computador portátil R$6,99 R$34,2 -79% 4.5 2.000+ vendido(s) R$10 OFF em R$80 Novo usuário - R$27,21 OFF",6.99,124.10,6.99,94,6,0.9437,5000.00,0.65,https://pt.aliexpress.com/item/1005006955086271.html,https://ae-pic-a1.aliexpress-media.com/kf/S277d3ccb114445fab415655875410ce32.jpg_480x480q75.jpg_.avif,2026-05-01 10:34:57.257 -0300
2,87.30,mouse gamer,mouse,aliexpress,Rato de jogo com fio usb 5000 dpi 3 botões silencioso mause retroiluminado profissional gamer ratos ergonômico computador mouse para computador portátil,6.99,124.10,6.99,94,6,0.9437,474.00,0.65,https://pt.aliexpress.com/item/1005008716680450.html,https://ae-pic-a1.aliexpress-media.com/kf/Sdf86c40352fe4ae8a8702b1c953f13ba4.jpg_480x480q75.jpg_.avif,2026-05-02 05:44:42.291 -0300
3,84.00,hub usb,hub_adaptador,shopee,7 Em 1 USB3.0 HUB Type C Adaptador De Alimentação OTG De 4 E 7 Portas Para Macbook PC Laptop Estudo Office,7.04,43.99,7.04,53,5,0.8400,6854.00,0.75,https://shopee.com.br/7-Em-1-USB3.0-HUB-Type-C-Adaptador-De-Alimenta%C3%A7%C3%A3o-OTG-De-4-E-7-Portas-Para-Macbook-PC-Laptop-Estudo-Office-i.1006215031.25325925584,https://down-br.img.susercontent.com/file/cn-11134207-7r98o-loqnyrqe0i9852,2026-05-01 10:42:11.668 -0300
4,82.08,mouse sem fio,mouse,aliexpress,2-10 conjuntos novo nível de competição mouse pés patins de borracha para logitech g502x com fio edição sem fio preto branco cinza vermelho azul,5.49,60.34,5.49,91,6,0.9090,54.00,0.65,https://pt.aliexpress.com/item/1005005437580940.html,https://ae-pic-a1.aliexpress-media.com/kf/Sf9a2153d2e354fda8baf8abaab275d11h.jpg_480x480q75.jpg_.avif,2026-05-02 05:44:54.060 -0300
5,81.87,headset gamer,headset_fone,shopee,Fone gamer Gm-D2 Headset audio mix p2 32I Preto,9.90,151.48,9.80,76,5,0.9346,7.00,0.75,https://shopee.com.br/Fone-gamer-Gm-D2-Headset-audio-mix-p2-32I-Preto-i.1364481038.58207320935,https://down-br.img.susercontent.com/file/br-11134207-820lq-mmw4rqsvcxkx23,2026-05-01 13:12:32.484 -0300
6,80.47,teclado mecanico,teclado,aliexpress,"Teclado mecânico rgb kebidumei, teclado usb com fio para jogos, 104 teclas, teclado ergonômico intercambiável, acessórios para computador, pc",16.03,169.99,16.03,93,6,0.9057,18.00,0.65,https://pt.aliexpress.com/item/1005011883458768.html,https://ae-pic-a1.aliexpress-media.com/kf/S8ece716903524c3f8d823231d53754fae.jpg_480x480q75.jpg_.avif,2026-05-02 05:45:03.147 -0300
7,80.22,headset gamer,headset_fone,terabyte,Headset Gamer Havit Fuxi-H5d White Drivers 50mm,9.80,151.48,9.80,76,5,0.9353,0.00,0.95,https://www.terabyteshop.com.br/produto/32483/headset-gamer-havit-fuxi-h5d-white-35mm-drivers-de-50mm-branco,https://img.terabyteshop.com.br/produto/m/headset-gamer-havit-fuxi-h5d-white-35mm-drivers-de-50mm-branco_216976.jpg,2026-05-02 04:44:47.892 -0300
8,80.22,headset gamer,headset_fone,terabyte,Headset Gamer Havit Fuxi-H5d Drivers 50mm P2,9.81,151.48,9.80,76,5,0.9352,0.00,0.95,https://www.terabyteshop.com.br/produto/32480/headset-gamer-havit-fuxi-h5d-black-35mm-drivers-de-50mm-preto,https://img.terabyteshop.com.br/produto/m/headset-gamer-havit-fuxi-h5d-black-35mm-drivers-de-50mm-preto_216955.jpg,2026-05-02 04:44:47.892 -0300
9,80.22,headset gamer,headset_fone,terabyte,Headset Gamer Havit H2230D P3 Drivers 50mm Branco,9.81,151.48,9.80,76,5,0.9352,0.00,0.95,https://www.terabyteshop.com.br/produto/37611/headset-gamer-havit-h2230d-p3-drivers-de-50mm-microfone-destacavel-branco-h2230d-wht,https://img.terabyteshop.com.br/produto/m/headset-gamer-havit-h2230d-p3-drivers-de-50mm-microfone-destacavel-branco-h2230d-wht_245973.jpg,2026-05-02 04:44:47.892 -0300
10,80.22,headset gamer,headset_fone,terabyte,Headset Gamer Havit H2230D P3 Drivers 50mm Preto,9.81,151.48,9.80,76,5,0.9352,0.00,0.95,https://www.terabyteshop.com.br/produto/37613/headset-gamer-havit-h2230d-p3-drivers-de-50mm-microfone-destacavel-preto-h2230d-blk,https://img.terabyteshop.com.br/produto/m/headset-gamer-havit-h2230d-p3-drivers-de-50mm-microfone-destacavel-preto-h2230d-blk_245989.jpg,2026-05-02 12:35:56.837 -0300
11,80.22,headset gamer,headset_fone,terabyte,"Headset Gamer PCYES Nowy Black Vulcan, USB, RGB, Drivers de 40mm, Preto, HGNW40BV",9.81,151.48,9.80,76,5,0.9352,0.00,0.95,https://www.terabyteshop.com.br/produto/40579/headset-gamer-pcyes-nowy-black-vulcan-usb-rgb-drivers-de-40mm-preto-hgnw40bv,https://img.terabyteshop.com.br/produto/m/headset-gamer-pcyes-nowy-black-vulcan-usb-rgb-drivers-de-40mm-preto-hgnw40bv_262887.jpg,2026-05-02 12:35:56.837 -0300
12,80.22,headset gamer,headset_fone,terabyte,"Headset Gamer PCYES Deffy Black Vulcan, USB, RGB, Drivers de 50mm, Preto, HGDF50BV",9.81,151.48,9.80,76,5,0.9352,0.00,0.95,https://www.terabyteshop.com.br/produto/40581/headset-gamer-pcyes-deffy-black-vulcan-usb-rgb-drivers-de-50mm-preto-hgdf50bv,https://img.terabyteshop.com.br/produto/m/headset-gamer-pcyes-deffy-black-vulcan-usb-rgb-drivers-de-50mm-preto-hgdf50bv_262899.jpg,2026-05-02 12:35:56.837 -0300
13,79.87,webcam,webcam,shopee,Webcam Full Hd 1080p Microfone Pc Notebook Home Office Nova Pronta Entrega,29.99,139.99,9.81,83,4,0.7858,5288.00,0.75,https://shopee.com.br/Webcam-Full-Hd-1080p-Microfone-Pc-Notebook-Home-Office-Nova-Pronta-Entrega-i.1374288201.22498752814,https://down-br.img.susercontent.com/file/sg-11134201-7rdvd-mcnmvcbe54xs96,2026-05-01 13:14:57.248 -0300
